,User_Name,Name,Description (Status),Tweets Posted,Location,No of Followers,Device Used for Tweet,Date of Tweet Creation,No of Friends
21,sbajpai2806,Shishir Bajpai 🇮🇳,Bhartiya | Working in Financial Services | #IAmNewIndia | Views and Opinions are Personal and not of Company,"#ChrisWood, Jefferies on India
- This to me is a pro growth budget
- Not concerned about inflation situation in Ind… https://t.co/mWmjfJkRWf",Bharat ,4615,Twitter for Android,2022-02-07 07:05:30+00:00,971
22,shashik48541101,Shashikant Patel,,"RT @stpiindia: “We have to deploy the architecture, which enables us to create millions of #WiFi hotspots in this country. #Budget2022 also…",,67,Twitter for Android,2022-02-07 07:05:14+00:00,15
23,abhijitkadle,Prometheus Iapetus,"Dork, Outsider, Grower, Toker, Polybiryani, Drugs, Nature, Books, Lego, 33 yrs on a motorcycle. Asleep 9-5","RT @lifeindia2016: LIFE's analysis of budget 2022: How oil palms get more allocation than climate change adaptation, air pollution control,…","Pune, India",1817,Twitter for iPhone,2022-02-07 07:05:03+00:00,1608
24,shashik48541101,Shashikant Patel,,RT @s_subodh: @stpiindia The vision of @_DigitalIndia gets further push with each sector adopting greater use of emerging digital technolog…,,67,Twitter for Android,2022-02-07 07:05:02+00:00,15
25,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",.@ShamikaRavi writes on how #Budget2022 is a reinforcement of last year’s strategy of economic recovery from the… https://t.co/s9uYvnJXoH,India,106456,TweetDeck,2022-02-07 07:05:00+00:00,136
26,phdchamber,PHD Chamber,"PHDCCI, established in 1905, is a proactive and dynamic multi-State apex organisation working at grass-root level with strong national & international linkages",#PHDCCI is organising an interactive session with Hon'ble Finance Minister Smt. Nirmala Sitharaman to discuss 'Impl… https://t.co/d7ujV90q93,India,9061,Twitter Web App,2022-02-07 07:04:50+00:00,2476
27,Energy_Swaraj,Energy Swaraj Foundation,"ESF is a not-for-profit organization aiming to create awareness of climate change, train them in solar and encourage surrender electricity connection.","We are moving towards Green India. Are you? Adopt solar energy to support Green India

#solarenergy #solarpower… https://t.co/7iv9PAqYai",Mumbai,613,Twitter Web App,2022-02-07 07:04:33+00:00,195
28,VermaDaksha2000,Daksha2000#Don't Lock Justice,"Seeker of Truth~Gandhian~ There are many other accounts like this, but this one is mine. I wonder how many miles I’ve scrolled with my thumb~to Support INC 🇮🇳","RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes","Hyderabad, TS, union of India ",13318,Twitter for Android,2022-02-07 07:04:29+00:00,9743
29,shashik48541101,Shashikant Patel,,"RT @stpiindia: #STPINEWS: Sh. Arvind Kumar, DG, #STPIINDIA accentuates the role of #Budget2022 in accelerating digital revolution in the co…",,67,Twitter for Android,2022-02-07 07:02:32+00:00,15
30,aruna_sekhar,Aruna Chandrasekhar,"Journalist covering land, food systems and nature @CarbonBrief. Tweets/RTs about climate, environment, conflict, culture. Views = own. 👩🏽‍🎓 @ecioxford 19-20.","RT @lifeindia2016: LIFE's analysis of budget 2022: How oil palms get more allocation than climate change adaptation, air pollution control,…","Mumbai, India",17822,Twitter for iPhone,2022-02-07 07:02:28+00:00,4924
31,shashik48541101,Shashikant Patel,,RT @arvindtw: The #Budget2022 facilitating #DroneShakti through varied applications across sectors &amp; #DrAAS can empower #AgriTech startups…,,67,Twitter for Android,2022-02-07 07:02:01+00:00,15
32,shashik48541101,Shashikant Patel,,"RT @Omkar_Raii: #Budget2022 with focus #GatiShakti, #DigitalRupee, #5G, extension of #ECLGC, creation of #CoEs for urban dev, policy for ba…",,67,Twitter for Android,2022-02-07 07:01:16+00:00,15
33,guy4mKnp,iamRK💎,"A self motivated person. 
#HappyToStandwithGenuinePpl 
#LoveTechnology
#LoveGardening
Believe in #Automation
#LoveCooking
#SocialActivist
#Influencer","RT @AEEE_India: #mondaythoughts 

#Budget2022 announces four pilot projects for the conversion of coal to #energy, along with an additional…","New Delhi, India",2155,RkDemoApp1,2022-02-07 07:01:11+00:00,2469
34,Natasharitah4,Natasha,Simplicity is the key,"RT @AEEE_India: #mondaythoughts 

#Budget2022 announces four pilot projects for the conversion of coal to #energy, along with an additional…",,64,Twitter for Android,2022-02-07 07:01:01+00:00,179
35,DpuGbsrc,DPU GBSRC,"The idea behind setting up DPU GBSRC is to offer 'Management Education' to aspiring leaders of tomorrow.
For Info Visit https://t.co/8TawomFqJo","The focus of the Union Budget 2022 is a step towards a modern and self-reliant India.
Complete your #MBA with us
En… https://t.co/3k7eWH5oz1",Pune,0,Twitter Web App,2022-02-07 07:00:34+00:00,0
36,shashik48541101,Shashikant Patel,,RT @Omkar_Raii: The significant #Capex boost in the #Budget2022 touching Rs. 7.50 lakh crore for the FY 2023 from Rs. 5.54 lakh crore in FY…,,67,Twitter for Android,2022-02-07 07:00:14+00:00,15
37,Raghav_Bahl,Raghav Bahl,"Founder @TheQuint, @BloombergQuint, Network18 | Entrepreneur, Business Leader, Media Industry Expert | Author- 'SuperEconomies', 'Superpower?' & 'Super Century'","RT @TheQuint: Is your head spinning with the wildly opposing reactions to #Budget2022? In this episode of Raghav's Take, The Quint's Editor…",India,112875,TweetDeck,2022-02-07 06:59:48+00:00,346
38,shashik48541101,Shashikant Patel,,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,,67,Twitter for Android,2022-02-07 06:59:41+00:00,15
39,hrkittu143,𝙷𝚊𝚛𝚒 𝙺𝚛𝚒𝚜𝚑𝚗𝚊,,RT @Rakesh_Nangia: Budget 2022: Is there another tax amnesty scheme- My column in @EconomicTimes  #budget2022 #decoding #fineprint #teamnan…,   🌻,49,Twitter for Android,2022-02-07 06:58:50+00:00,131
40,shashik48541101,Shashikant Patel,,"RT @Omkar_Raii: Initiatives like extension of tax holiday for startups, reduction in tax burden for investors in startups, and modernizatio…",,67,Twitter for Android,2022-02-07 06:58:38+00:00,15
41,AcrossThe_Lines,#AcrossTheLines,"The opinion and comments on political economy, environment and spirituality by #KaushalKishore is known as #AcrossTheLines in the vernacular press. @mrkkjha","RT @mrkkjha: #MGNREGA fund allocated for 2021-22 was Rs 98,000 crore, and that reduced to Rs 73,000 crore for 2022-23, as a kind of hope to…",,25,Twitter for Android,2022-02-07 06:58:09+00:00,75
42,nitish8757,Nitish8757,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,4,Twitter for Android,2022-02-07 06:55:36+00:00,107
43,Elijah04737253,Elijah,Hey!,"RT @CaSondagar: Virtual Digital Assets
#IncomeTax and #TDS as per #Budget2022 https://t.co/KbAId1EDUt",,1,Twitter for iPhone,2022-02-07 06:55:29+00:00,13
44,ngiiteducation,NGIIT EDUCATION CAMPUS,NGIIT  is structured to meet the requirements of information Technology industry. is a onestop solution for students seeking career opportunities in the IT,"RT @rsprasad: .@narendramodi Govt is committed to the welfare of farmers.

Since the launch of PM- Kisan it has provided income support to…",India,185,Twitter for Android,2022-02-07 06:55:15+00:00,1430
45,ArunKum49014956,Arun Kumar Shahi,,"RT @Omkar_Raii: Initiatives like extension of tax holiday for startups, reduction in tax burden for investors in startups, and modernizatio…",,12,Twitter for Android,2022-02-07 06:54:40+00:00,126
46,sakshibatra18,Sakshi Batra,"Anchor & Associate Editor, @business_today 
Worked at Money9, Moneycontrol, ZeeBusiness, Wion & ETNOW
Meditator, Art of Living volunteer.
Views are personal.","RT @IndiaToday: #ITBudgetRoundtable | Watch the India Today mega event with the makers of #Budget2022,  today from 3 pm onward, only on Ind…",,5414,Twitter for Android,2022-02-07 06:54:33+00:00,1130
